"","Cumul_N","Sdt_DD.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value","model"
"1",350,-71.9748853505613,52.9596169505671,133.722445853126,-176.721760862581,32.7719901614584,-1.35905222686454,0.176417778368921,"gs"
"2",560,-73.1798052517139,42.6348982318444,133.743403383604,-157.505679287137,11.1460687837093,-1.71642969226218,0.0883986137862435,"gs"
"3",1050,-75.9912850210704,32.3970840148592,132.797398944107,-140.072359820307,-11.9102102218332,-2.34562113634104,0.0204762854724449,"gs"
"4",1680,-79.6060447245291,56.7383938214833,132.289161682395,-191.837926418419,32.6258369693607,-1.40303662763163,0.162948615842349,"gs"
"5",350,-3.49978773975675,2.9720866972903,134.564513454638,-9.37783268184578,2.37825720233229,-1.1775523718563,0.241053574033398,"Chi"
"6",560,-6.32443874612709,2.39430113606544,134.584971503942,-11.059761671026,-1.58911582122815,-2.641455016189,0.00923232935552084,"Chi"
"7",1050,-12.9152910943257,1.84035617301464,133.775428042996,-16.5552506134814,-9.27533157517008,-7.01782148678837,1.02084659736013e-10,"Chi"
"8",1680,-21.3892441134368,3.22929238868458,133.339959449431,-27.7765098635246,-15.001978363349,-6.62350804417232,7.88497991432706e-10,"Chi"
"9",350,-38.921736426437,24.1607582195286,133.901063713884,-86.7078280792622,8.86435522638822,-1.61094846746065,0.109545757149757,"betaleaf"
"10",560,-59.9387111878905,19.4648340880125,133.936994112848,-98.4369264356505,-21.4404959401305,-3.07933326926244,0.00251762586171592,"betaleaf"
"11",1050,-108.978318964606,14.9691537182356,132.929912440218,-138.58686849776,-79.3697694314512,-7.28019238868842,2.61949125151157e-11,"betaleaf"
"12",1680,-172.029243248968,26.2664632410659,132.333206414702,-223.985693543996,-120.072792953941,-6.54938739449368,1.17076639403754e-09,"betaleaf"
"13",350,-21.8578062152737,9.31679194537697,133.97499471125,-40.28482864452,-3.43078378602728,-2.34606572127218,0.0204397133629121,"Nmass"
"14",560,-19.2337634666051,7.50562194804471,133.988046469236,-34.0785879528904,-4.3889389803198,-2.56258090265467,0.0114946998066313,"Nmass"
"15",1050,-13.110997053044,5.76760238401007,133.477949449562,-24.5187161426246,-1.70327796346342,-2.27321444512065,0.0246104697633794,"Nmass"
"16",1560,-6.73832180627817,8.98107263493315,133.189366271384,-24.5023037168066,11.0256601042503,-0.750280292809181,0.454409274918001,"Nmass"
"17",350,-23.3542833930983,12.3260324544233,133.880924713337,-47.7332254419419,1.02465865574534,-1.89471214516537,0.0602870554663515,"Narea"
"18",560,-13.7099831892842,9.92658884814295,133.881048519902,-33.3432052439469,5.92323886537861,-1.38113740772582,0.169537653686423,"Narea"
"19",1050,8.79338395294839,7.63869345151137,132.852321517086,-6.3158099958062,23.902577901703,1.15116335126769,0.25173265034183,"Narea"
"20",1680,37.7262845643876,13.4275551927832,132.413188543163,11.1660198976178,64.2865492311574,2.80961679343265,0.00571247139686488,"Narea"
