"","Cumul_N","Sdt_DD.trend","SE","df","lower.CL","upper.CL","t.ratio","p.value","model"
"1",350,-0.770470088368578,0.301944115563685,37.5249057997612,-1.38197823924985,-0.158961937487308,-2.55169764421547,0.0149212399775205,"gs"
"2",560,-0.705374517897493,0.248606664119509,37.5393014824033,-1.20885530841813,-0.201893727376856,-2.837311382604,0.00729577367978507,"gs"
"3",1050,-0.553484853464962,0.169275689170278,37.3864784137824,-0.896350339200667,-0.210619367729257,-3.26972441333971,0.0023158298369417,"gs"
"4",1680,-0.358198142051754,0.242460379498696,37.1075069294982,-0.849421496926148,0.13302521282264,-1.47734711457746,0.148020325170408,"gs"
"5",350,-0.0050018735613547,0.0245222533499512,37.8487605460998,-0.0546510952363699,0.0446473481136605,-0.203972836018541,0.839467532874113,"Chi"
"6",560,-0.0144503091930573,0.0201900426097837,37.8719310241435,-0.0553274530696415,0.0264268346835269,-0.715714645696435,0.478557397695345,"Chi"
"7",1050,-0.036496659000363,0.0137504772032339,37.6256785785348,-0.0643421419967405,-0.00865117600398558,-2.65421035655253,0.011583259367779,"Chi"
"8",1680,-0.0648419658954637,0.0197035084981474,37.1753754377856,-0.104758709976442,-0.0249252218144851,-3.2908842555406,0.00219342747412619,"Chi"
"9",350,-0.0426110512265661,0.302627801708392,37.8487605460955,-0.655329409430481,0.570107306977349,-0.140803491900013,0.888771907609813,"betaleaf"
"10",560,-0.161865069904882,0.249164223377122,37.8719310241405,-0.666327690649847,0.342597550840083,-0.649632068805847,0.51985092760641,"betaleaf"
"11",1050,-0.440124446820948,0.169693895135633,37.6256785785346,-0.783764045778069,-0.0964848478638282,-2.59363748159098,0.0134547735641696,"betaleaf"
"12",1680,-0.797886502855807,0.243159932231466,37.175375437784,-1.29049688168982,-0.305276124021797,-3.28132392345089,0.00225171238195704,"betaleaf"
"13",350,-0.760800317093396,0.277517054148945,37.8487605460981,-1.32267795302711,-0.198922681159682,-2.74145428440975,0.00928652850886281,"Nmass"
"14",560,-0.663965048595659,0.228489652571834,37.8719310241422,-1.12656954047343,-0.201360556717884,-2.90588672669506,0.00608632051980747,"Nmass"
"15",1050,-0.438016088767609,0.155613428836517,37.6256785785349,-0.7531419584106,-0.122890219124617,-2.814770499195,0.00772288175970265,"Nmass"
"16",1680,-0.14751028327447,0.222983571565433,37.1753754377843,-0.599245981070468,0.304225414521527,-0.661529825892058,0.512352284169248,"Nmass"
"17",350,-0.522561360574921,0.24163951837582,37.8487605460952,-1.01179919047887,-0.0333235306709691,-2.16256580913303,0.036959989712273,"Narea"
"18",560,-0.420338335229977,0.198950402419896,37.8719310241403,-0.823137100007301,-0.0175395704526529,-2.11277951749416,0.041268681128209,"Narea"
"19",1050,-0.181817942758444,0.135495651293145,37.6256785785346,-0.456204191206535,0.0925683056896472,-1.34187290162605,0.187679552541347,"Narea"
"20",1680,0.124851133276313,0.194156150165364,37.1753754377838,-0.268483960249167,0.518186226801792,0.643044957216016,0.524141767382817,"Narea"
"21",350,0.235023105289046,0.129924056503375,37.7013920294003,-0.0280628246561223,0.498109035234213,1.80892678087634,0.0784423887395138,"LMA"
"22",560,0.240741482243766,0.106972153361414,37.7205819601054,0.0241349876824522,0.45734797680508,2.25050608666727,0.0303296706474994,"LMA"
"23",1050,0.25408436180478,0.0728460079282235,37.5167472788553,0.106552922755215,0.401615800854346,3.48796549091797,0.00125942756854698,"LMA"
"24",1680,0.271239492668938,0.104363528780789,37.1443364120021,0.0598066300212785,0.482672355316597,2.59898736500818,0.0133333352162399,"LMA"
"25",350,-0.519997384579938,0.269454503442204,37.8068083902929,-1.06557106055604,0.0255762913961609,-1.92981515594329,0.0611584688169477,"Vcmax"
"26",560,-0.43875220052424,0.22185209939716,37.8288479763054,-0.887935034454945,0.0104306334064659,-1.97767883070056,0.0552841412259471,"Vcmax"
"27",1050,-0.24918010439428,0.151088363329631,37.5946532128625,-0.555150841279785,0.0567906324912246,-1.6492342553916,0.107432217748668,"Vcmax"
"28",1680,-0.00544455222724571,0.216487615520693,37.1665121587512,-0.444023801680889,0.433134697226398,-0.0251494858685128,0.980070278117317,"Vcmax"
"29",350,-0.522268422947123,0.286870698158204,37.8487605460949,-1.10308400631403,0.0585471604197891,-1.82057082267462,0.0765859096535025,"Jmax"
"30",560,-0.467112033680085,0.236190840077267,37.8719310241391,-0.945308496103161,0.0110844287429914,-1.97768903115496,0.0552745430030355,"Jmax"
"31",1050,-0.338413792056999,0.160858341156809,37.6256785785346,-0.664160901579421,-0.0126666825345769,-2.10380008660604,0.042136612982936,"Jmax"
"32",1680,-0.172944624255927,0.230499177965669,37.1753754377835,-0.639905962567662,0.294016714055808,-0.750304733328315,0.457793949859198,"Jmax"
"33",350,0.0213733663330674,0.14439722581134,37.6973611635867,-0.271020620903962,0.313767353570097,0.148017846000673,0.883117592764368,"nrubisco"
"34",560,0.00428524433647714,0.118888577991442,37.7164419128761,-0.236451534824629,0.245022023497584,0.0360442054979041,0.971437208328644,"nrubisco"
"35",1050,-0.0355870403222329,0.0809606376897333,37.5137698213858,-0.199553073192771,0.128378992548305,-0.439559782849212,0.6627778580748,"nrubisco"
"36",1680,-0.0868514063119909,0.115988432512098,37.1434911417903,-0.321835651949481,0.148132839325499,-0.748793689430466,0.458697374230774,"nrubisco"
"37",350,0.00635021534534473,0.0259499406524671,37.7420176021104,-0.0461944877962842,0.0588949184869737,0.244710206870589,0.808006417161893,"nbioe"
