Name,chlorophyll_absorbance:649,chlorophyll_absorbance:665,Blank chlorophyll_absorbance:649,Blank chlorophyll_absorbance:665
B1_HN_WW_P2_t2,0.18,0.389,0.082,0.291
B1_HN_WW_P3_t2,0.226,0.386,0.128,0.288
B1_HN_WW_P3_t2,0.199,0.331,0.1,0.233
B1_HN_WW_P3_t2,0.167,0.272,0.068,0.174
B1_HN_WW_P4_t2,0.174,0.315,0.075,0.218
B1_HN_WW_P4_t2,0.147,0.259,0.049,0.162
B1_HN_WW_P4_t2,0.178,0.324,0.08,0.226
B1_HN_WW_P5_t2,0.158,0.204,0.06,0.106
B1_HN_WW_P5_t2,0.174,0.225,0.076,0.127
B1_HN_WW_P5_t2,0.195,0.249,0.097,0.151
B1_HN_WW_P6_t2,0.163,0.302,0.065,0.204
B1_HN_WW_P6_t2,0.213,0.409,0.115,0.311
B1_HN_WW_P6_t2,0.194,0.367,0.095,0.269
B1_HN_WW_P7_t2,0.173,0.266,0.075,0.168
B1_HN_WW_P7_t2,0.175,0.27,0.077,0.172
B1_HN_WW_P7_t2,0.183,0.283,0.085,0.186
B1_HN_WW_P8_t2,0.152,0.316,0.053,0.218
B1_HN_WW_P8_t2,0.171,0.36,0.073,0.262
B1_HN_WW_P8_t2,0.146,0.305,0.048,0.207
B5_HN_SPD_P1_t2,0.148,0.271,0.05,0.173
B5_HN_SPD_P1_t2,0.184,0.341,0.086,0.243
B5_HN_SPD_P1_t2,0.159,0.284,0.061,0.186
B5_HN_SPD_P2_t2,0.158,0.234,0.059,0.136
B5_HN_SPD_P2_t2,0.202,0.302,0.103,0.205
B5_HN_SPD_P2_t2,0.171,0.251,0.072,0.153
B5_HN_SPD_P3_t2,0.18,0.275,0.082,0.177
B5_HN_SPD_P3_t2,0.161,0.265,0.063,0.167
B5_HN_SPD_P3_t2,0.166,0.276,0.067,0.178
B5_HN_SPD_P4_t2,0.143,0.219,0.045,0.122
B5_HN_SPD_P4_t2,0.169,0.265,0.071,0.167
B5_HN_SPD_P4_t2,0.158,0.247,0.06,0.149
B5_HN_SPD_P5_t2,0.191,0.217,0.093,0.119
B5_HN_SPD_P5_t2,0.193,0.22,0.094,0.122
B5_HN_SPD_P5_t2,0.203,0.231,0.105,0.133
B5_HN_SPD_P6_t2,0.16,0.315,0.062,0.217
B5_HN_SPD_P6_t2,0.162,0.324,0.064,0.226
B5_HN_SPD_P6_t2,0.16,0.316,0.062,0.218
B5_HN_SPD_P7_t2,0.144,0.276,0.046,0.178
B5_HN_SPD_P7_t2,0.18,0.353,0.082,0.255
B5_HN_SPD_P7_t2,0.149,0.282,0.051,0.184
B5_HN_SPD_P8_t2,0.158,0.24,0.06,0.142
B5_HN_SPD_P8_t2,0.157,0.245,0.058,0.147
B5_HN_SPD_P8_t2,0.164,0.258,0.065,0.16
B6_HN_FDD_P1_t2,0.184,0.283,0.086,0.185
B6_HN_FDD_P1_t2,0.206,0.321,0.108,0.223
B6_HN_FDD_P1_t2,0.201,0.312,0.103,0.214
B1_HN_WW_P1_t3,0.223,0.452,0.182,0.412
B1_HN_WW_P1_t3,0.199,0.397,0.159,0.356
B1_HN_WW_P1_t3,0.168,0.325,0.127,0.284
B1_HN_WW_P2_t3,0.208,0.444,0.167,0.403
B1_HN_WW_P2_t3,0.163,0.335,0.122,0.295
B1_HN_WW_P2_t3,0.18,0.375,0.139,0.335
B1_HN_WW_P3_t3,0.183,0.405,0.143,0.365
B1_HN_WW_P3_t3,0.155,0.321,0.115,0.281
B1_HN_WW_P3_t3,0.231,0.522,0.19,0.482
B1_HN_WW_P4_t3,0.172,0.369,0.131,0.328
B1_HN_WW_P4_t3,0.139,0.272,0.098,0.231
B1_HN_WW_P4_t3,0.12,0.226,0.079,0.186
B1_HN_WW_P5_t3,0.157,0.34,0.116,0.3
B1_HN_WW_P5_t3,0.124,0.254,0.083,0.214
B1_HN_WW_P5_t3,0.129,0.267,0.088,0.227
B1_HN_WW_P6_t3,0.205,0.465,0.165,0.425
B1_HN_WW_P6_t3,0.26,0.59,0.219,0.55
B1_HN_WW_P6_t3,0.186,0.411,0.145,0.371
B1_HN_WW_P7_t3,0.169,0.371,0.128,0.33
B1_HN_WW_P7_t3,0.191,0.424,0.151,0.384
B1_HN_WW_P7_t3,0.149,0.32,0.109,0.279
B1_HN_WW_P8_t3,0.185,0.415,0.144,0.375
B1_HN_WW_P8_t3,0.138,0.289,0.098,0.248
B1_HN_WW_P8_t3,0.133,0.28,0.092,0.24
B5_HN_SPD_P1_t3,0.19,0.432,0.149,0.392
B5_HN_SPD_P1_t3,0.153,0.325,0.112,0.284
B5_HN_SPD_P1_t3,0.155,0.332,0.114,0.292
B5_HN_SPD_P2_t3,0.219,0.52,0.178,0.48
B5_HN_SPD_P2_t3,0.169,0.384,0.129,0.344
B5_HN_SPD_P2_t3,0.188,0.436,0.147,0.396
B5_HN_SPD_P3_t3,0.189,0.412,0.148,0.371
B5_HN_SPD_P3_t3,0.174,0.37,0.133,0.33
B5_HN_SPD_P3_t3,0.18,0.381,0.14,0.34
B5_HN_SPD_P4_t3,0.205,0.468,0.165,0.428
B5_HN_SPD_P4_t3,0.164,0.361,0.124,0.321
B5_HN_SPD_P4_t3,0.19,0.425,0.149,0.385
B5_HN_SPD_P5_t3,0.214,0.49,0.173,0.45
B5_HN_SPD_P5_t3,0.17,0.363,0.129,0.323
B5_HN_SPD_P5_t3,0.183,0.402,0.142,0.361
B5_HN_SPD_P6_t3,0.2,0.431,0.159,0.391
B5_HN_SPD_P6_t3,0.177,0.379,0.137,0.338
B5_HN_SPD_P6_t3,0.185,0.396,0.144,0.356
B5_HN_SPD_P7_t3,0.224,0.507,0.184,0.467
B5_HN_SPD_P7_t3,0.173,0.383,0.132,0.343
B5_HN_SPD_P7_t3,0.166,0.359,0.126,0.319
B5_HN_SPD_P8_t3,0.19,0.416,0.149,0.376
B5_HN_SPD_P8_t3,0.171,0.372,0.13,0.331
B5_HN_SPD_P8_t3,0.174,0.375,0.133,0.335
B6_HN_FDD_P1_t3,0.202,0.444,0.161,0.403
B6_HN_FDD_P1_t3,0.186,0.402,0.145,0.362
B6_HN_FDD_P1_t3,0.285,0.655,0.244,0.615
B6_HN_FDD_P2_t3,0.221,0.517,0.18,0.477
B6_HN_FDD_P2_t3,0.245,0.578,0.204,0.537
B6_HN_FDD_P2_t3,0.25,0.59,0.21,0.549
B6_HN_FDD_P3_t3,0.271,0.646,0.23,0.606
B6_HN_FDD_P3_t3,0.227,0.539,0.186,0.499
B6_HN_FDD_P3_t3,0.235,0.563,0.195,0.522
B6_HN_FDD_P4_t3,0.223,0.5,0.182,0.46
B6_HN_FDD_P4_t3,0.201,0.438,0.16,0.398
B6_HN_FDD_P4_t3,0.256,0.579,0.216,0.539
B6_HN_FDD_P5_t3,0.263,0.621,0.222,0.58
B6_HN_FDD_P5_t3,0.225,0.52,0.184,0.479
B6_HN_FDD_P5_t3,0.23,0.538,0.19,0.498
B6_HN_FDD_P6_t3,0.272,0.587,0.231,0.547
B6_HN_FDD_P6_t3,0.272,0.628,0.232,0.588
B6_HN_FDD_P6_t3,0.277,0.637,0.236,0.597
B6_HN_FDD_P7_t3,0.338,0.811,0.297,0.771
B6_HN_FDD_P7_t3,0.296,0.693,0.255,0.652
B6_HN_FDD_P7_t3,0.364,0.877,0.323,0.837
B6_HN_FDD_P8_t3,0.208,0.489,0.168,0.449
B6_HN_FDD_P8_t3,0.175,0.395,0.134,0.354
B6_HN_FDD_P8_t3,0.205,0.478,0.165,0.438
B7_LN_WW_P1_t3,0.178,0.389,0.137,0.349
B7_LN_WW_P1_t3,0.21,0.463,0.169,0.423
