id_plant,date,ID_trt,block,plant,n_trt,drought,tmp,VPD,DAD,Cumul_FC,Cumul_N,Cumul_DD,time,machine,anet_420,ci_420,gs_420,vpd_leaf,temperature_leaf,vcmax_tleaf,vcmax_tleaf_se,jmax_tleaf,jmax_tleaf_se,rd_tleaf,rd_tleaf_se,TPU,TPU_se,aci_RMSE,aci_ci_transistion,aci_ci_transition_set,aci_km,aci_gammastar,aci_fitmethod,aci_tcorrect,aci_fittpu,deltaC13,percentage_C,percentage_N,total_leaves,stem,rep_org,senescence,roots,transpiration
hn_b5_p8,25-May,B5,5,8,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,gibson,39.72079323,257.3919405,0.69688227,1.495879118,25.00154569,190.0671116,1.569570696,353.572751,NA,2.798303836,0.27744208,18.10479274,NA,5.298035306,296.4968671,NA,710.415692,42.75339465,bilinear,FALSE,TRUE,-32.02,40.3205247,4.270941751,,,,,,
hn_b6_p1,25-May,B6,6,1,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,stan,41.95168491,243.4393087,0.670314991,1.501189281,24.99745808,207.1651635,1.786563473,400.9085178,NA,2.59044554,0.309802425,19.55755549,NA,4.377228005,293.6004852,NA,710.1648349,42.74444529,bilinear,FALSE,TRUE,-31.12,37.30227897,5.335885234,,,,,,
hn_b6_p2,25-May,B6,6,2,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,gibson,35.28919305,283.7381277,0.79318512,1.501657295,25.01403083,144.9451793,2.304598102,242.5101242,NA,-0.005228159,0.3832071,15.37637151,NA,6.731750891,285.9112078,NA,711.1817313,42.78072624,bilinear,FALSE,TRUE,-33.18,41.6426077,5.171270377,,,,,,
hn_b6_p3,25-May,B6,6,3,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,stan,21.67497883,336.547247,1.021784612,1.519453546,25.0326251,74.08801282,1.970993124,114.4605757,NA,-1.557546169,0.327937634,8.314994219,NA,3.335618116,282.1207406,NA,712.3250649,42.82147664,bilinear,FALSE,TRUE,-33.19,40.82081985,6.299491951,,,,,,
hn_b6_p4,25-May,B6,6,4,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,stan,37.57241121,248.9718517,0.587594587,1.499079156,24.9971463,182.7193888,1.401669663,339.0863084,NA,2.526217503,0.250866301,16.4083129,NA,10.68319986,302.8084993,NA,710.146349,42.74377458,bilinear,FALSE,TRUE,-31.12,41.32238809,5.632888336,,,,,,
hn_b6_p5,25-May,B6,6,5,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,stan,32.04034453,253.1401216,0.480344364,1.4985003,25.00091144,158.3616403,2.535833355,284.689508,NA,3.257836267,0.462950672,17.1977258,NA,5.854993561,311.0605914,NA,710.3779109,42.75202701,bilinear,FALSE,TRUE,-32.83,41.22978235,5.25059056,,,,,,
hn_b6_p6,25-May,B6,6,6,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,gibson,48.93842624,264.5962588,1.078962964,1.282216203,24.93090957,222.9999562,6.02383256,483.8198079,NA,3.452435632,1.158118424,19.06824718,NA,25.27252971,310.8036741,NA,706.7181939,42.61042012,bilinear,FALSE,TRUE,-30.18,42.3435233,4.944577976,,,,,,
hn_b6_p7,25-May,B6,6,7,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,gibson,48.79613537,259.6469811,1.047463222,1.337471576,24.92373776,224.5538324,4.466537295,521.6182916,NA,3.806473634,0.869101666,21.62853149,NA,19.67441036,329.6418385,NA,706.1205202,42.59186609,bilinear,FALSE,TRUE,-31.27,43.48065305,5.405982743,,,,,,
hn_b6_p8,25-May,B6,6,8,HN,predrought,29.16,1.95,0,14.75409836,525,0,t1,stan,24.92215097,322.2667935,0.905103391,1.518062539,25.02019602,88.18736458,1.201986737,154.7772712,NA,-1.190532993,0.255494489,NA,NA,2.904986814,352.9181062,NA,711.5598966,42.79422068,bilinear,FALSE,TRUE,-32.37,37.3884704,5.252771522,,,,,,
ln_b7_p1,24-May,B7,7,1,LN,predrought,29.16,1.95,0,13.7704918,175,0,t1,gibson,31.98753499,299.8927153,0.877164396,1.512289684,25.00631168,128.3512623,1.486526222,219.9458576,NA,0.507496711,0.276486356,12.83916667,NA,5.621409106,309.6866866,NA,710.7083503,42.76383235,bilinear,FALSE,TRUE,-31.43,40.97390203,3.58565844,,,,,,
