ID_trt,n_trt,drought,plant,DAD,FC
B6,HN,FDD,4,22,0.196721311
B6,HN,FDD,4,23,0.196721311
B6,HN,FDD,4,24,0.196721311
B6,HN,FDD,4,25,0.180327869
B6,HN,FDD,4,26,0.180327869
B6,HN,FDD,4,27,0.180327869
B6,HN,FDD,4,28,0.180327869
B6,HN,FDD,4,29,0.852459016
B6,HN,FDD,4,30,0.68852459
B6,HN,FDD,4,31,0.573770492
B6,HN,FDD,4,32,0.459016393
B6,HN,FDD,4,33,0.31147541
B6,HN,FDD,4,34,0.245901639
B6,HN,FDD,4,35,0.180327869
B6,HN,FDD,4,36,0.180327869
B6,HN,FDD,4,37,0.180327869
B6,HN,FDD,4,38,0.180327869
B6,HN,FDD,5,1,0.983606557
B6,HN,FDD,5,2,0.93442623
B6,HN,FDD,5,3,0.909836066
B6,HN,FDD,5,4,0.844262295
B6,HN,FDD,5,5,0.754098361
B6,HN,FDD,5,6,0.713114754
B6,HN,FDD,5,7,0.696721311
B6,HN,FDD,5,8,0.639344262
B6,HN,FDD,5,9,0.557377049
B6,HN,FDD,5,10,0.532786885
B6,HN,FDD,5,11,0.5
B6,HN,FDD,5,12,0.393442623
B6,HN,FDD,5,13,0.327868852
B6,HN,FDD,5,14,0.327868852
B6,HN,FDD,5,15,0.327868852
B6,HN,FDD,5,16,0.327868852
B6,HN,FDD,5,17,0.327868852
B6,HN,FDD,5,18,0.327868852
B6,HN,FDD,5,19,0.327868852
B6,HN,FDD,5,20,0.229508197
B6,HN,FDD,5,21,0.196721311
B6,HN,FDD,5,22,0.196721311
B6,HN,FDD,5,23,0.196721311
B6,HN,FDD,5,24,0.196721311
B6,HN,FDD,5,25,0.180327869
B6,HN,FDD,5,26,0.180327869
B6,HN,FDD,5,27,0.180327869
B6,HN,FDD,5,28,0.180327869
B6,HN,FDD,5,29,0.852459016
B6,HN,FDD,5,30,0.68852459
B6,HN,FDD,5,31,0.590163934
B6,HN,FDD,5,32,0.459016393
B6,HN,FDD,5,33,0.295081967
B6,HN,FDD,5,34,0.229508197
B6,HN,FDD,5,35,0.180327869
B6,HN,FDD,5,36,0.180327869
B6,HN,FDD,5,37,0.180327869
B6,HN,FDD,5,38,0.180327869
B6,HN,FDD,6,1,0.983606557
B6,HN,FDD,6,2,0.836065574
B6,HN,FDD,6,3,0.778688525
B6,HN,FDD,6,4,0.713114754
B6,HN,FDD,6,5,0.557377049
B6,HN,FDD,6,6,0.5
B6,HN,FDD,6,7,0.467213115
B6,HN,FDD,6,8,0.409836066
B6,HN,FDD,6,9,0.327868852
B6,HN,FDD,6,10,0.327868852
B6,HN,FDD,6,11,0.327868852
B6,HN,FDD,6,12,0.327868852
B6,HN,FDD,6,13,0.327868852
B6,HN,FDD,6,14,0.327868852
B6,HN,FDD,6,15,0.327868852
B6,HN,FDD,6,16,0.327868852
B6,HN,FDD,6,17,0.327868852
B6,HN,FDD,6,18,0.327868852
B6,HN,FDD,6,19,0.327868852
B6,HN,FDD,6,20,0.196721311
B6,HN,FDD,6,21,0.196721311
B6,HN,FDD,6,22,0.196721311
B6,HN,FDD,6,23,0.196721311
B6,HN,FDD,6,24,0.196721311
B6,HN,FDD,6,25,0.196721311
B6,HN,FDD,6,26,0.180327869
B6,HN,FDD,6,27,0.180327869
B6,HN,FDD,6,28,0.180327869
B6,HN,FDD,6,29,0.852459016
B6,HN,FDD,6,30,0.721311475
B6,HN,FDD,6,31,0.590163934
B6,HN,FDD,6,32,0.475409836
B6,HN,FDD,6,33,0.31147541
B6,HN,FDD,6,34,0.245901639
B6,HN,FDD,6,35,0.180327869
B6,HN,FDD,6,36,0.180327869
B6,HN,FDD,6,37,0.180327869
B6,HN,FDD,6,38,0.180327869
B6,HN,FDD,7,1,0.983606557
B6,HN,FDD,7,2,0.836065574
B6,HN,FDD,7,3,0.745901639
B6,HN,FDD,7,4,0.614754098
B6,HN,FDD,7,5,0.409836066
B6,HN,FDD,7,6,0.327868852
B6,HN,FDD,7,7,0.327868852
B6,HN,FDD,7,8,0.327868852
B6,HN,FDD,7,9,0.327868852
B6,HN,FDD,7,10,0.327868852
B6,HN,FDD,7,11,0.327868852
B6,HN,FDD,7,12,0.327868852
B6,HN,FDD,7,13,0.327868852
B6,HN,FDD,7,14,0.327868852
B6,HN,FDD,7,15,0.327868852
B6,HN,FDD,7,16,0.327868852
B6,HN,FDD,7,17,0.327868852
B6,HN,FDD,7,18,0.327868852
B6,HN,FDD,7,19,0.196721311
B6,HN,FDD,7,20,0.196721311
B6,HN,FDD,7,21,0.196721311
B6,HN,FDD,7,22,0.196721311
B6,HN,FDD,7,23,0.196721311
B6,HN,FDD,7,24,0.196721311
B6,HN,FDD,7,25,0.180327869
B6,HN,FDD,7,26,0.180327869
B6,HN,FDD,7,27,0.180327869
B6,HN,FDD,7,28,0.180327869
B6,HN,FDD,7,29,0.852459016
B6,HN,FDD,7,30,0.655737705
B6,HN,FDD,7,31,0.508196721
B6,HN,FDD,7,32,0.327868852
B6,HN,FDD,7,33,0.180327869
B6,HN,FDD,7,34,0.180327869
B6,HN,FDD,7,35,0.180327869
B6,HN,FDD,7,36,0.180327869
B6,HN,FDD,7,37,0.180327869
B6,HN,FDD,7,38,0.180327869
B6,HN,FDD,8,1,0.983606557
B6,HN,FDD,8,2,0.93442623
B6,HN,FDD,8,3,0.909836066
B6,HN,FDD,8,4,0.844262295
B6,HN,FDD,8,5,0.737704918
B6,HN,FDD,8,6,0.680327869
B6,HN,FDD,8,7,0.663934426
B6,HN,FDD,8,8,0.606557377
B6,HN,FDD,8,9,0.524590164
B6,HN,FDD,8,10,0.5
B6,HN,FDD,8,11,0.467213115
B6,HN,FDD,8,12,0.393442623
B6,HN,FDD,8,13,0.352459016
B6,HN,FDD,8,14,0.327868852
B6,HN,FDD,8,15,0.327868852
B6,HN,FDD,8,16,0.327868852
B6,HN,FDD,8,17,0.327868852
B6,HN,FDD,8,18,0.327868852
B6,HN,FDD,8,19,0.327868852
B6,HN,FDD,8,20,0.327868852
B6,HN,FDD,8,21,0.327868852
B6,HN,FDD,8,22,0.327868852
B6,HN,FDD,8,23,0.327868852
B6,HN,FDD,8,24,0.327868852
B6,HN,FDD,8,25,0.196721311
B6,HN,FDD,8,26,0.196721311
B6,HN,FDD,8,27,0.196721311
B6,HN,FDD,8,28,0.196721311
B6,HN,FDD,8,29,0.196721311
B6,HN,FDD,8,30,0.180327869
B6,HN,FDD,8,31,0.180327869
B6,HN,FDD,8,32,0.180327869
B6,HN,FDD,8,33,0.180327869
B6,HN,FDD,8,34,0.180327869
B6,HN,FDD,8,35,0.852459016
B6,HN,FDD,8,36,0.786885246
B6,HN,FDD,8,37,0.737704918
B6,HN,FDD,8,38,0.704918033
B6,HN,FDD,8,39,0.557377049
B6,HN,FDD,8,40,0.393442623
B6,HN,FDD,8,41,0.229508197
B3,LN,FDD,1,1,0.983606557
B3,LN,FDD,1,2,0.918032787
B3,LN,FDD,1,3,0.918032787
B3,LN,FDD,1,4,0.844262295
B3,LN,FDD,1,5,0.754098361
B3,LN,FDD,1,6,0.729508197
B3,LN,FDD,1,7,0.729508197
B3,LN,FDD,1,8,0.68852459
B3,LN,FDD,1,9,0.62295082
B3,LN,FDD,1,10,0.614754098
B3,LN,FDD,1,11,0.598360656
B3,LN,FDD,1,12,0.524590164
B3,LN,FDD,1,13,0.5
B3,LN,FDD,1,14,0.483606557
B3,LN,FDD,1,15,0.360655738
B3,LN,FDD,1,16,0.327868852
B3,LN,FDD,1,17,0.327868852
B3,LN,FDD,1,18,0.327868852
B3,LN,FDD,1,19,0.327868852
B3,LN,FDD,1,20,0.327868852
B3,LN,FDD,1,21,0.327868852
B3,LN,FDD,1,22,0.327868852
B3,LN,FDD,1,23,0.327868852
B3,LN,FDD,1,24,0.327868852
B3,LN,FDD,1,25,0.327868852
B3,LN,FDD,1,26,0.327868852
B3,LN,FDD,1,27,0.327868852
B3,LN,FDD,1,28,0.196721311
B3,LN,FDD,1,29,0.196721311
B3,LN,FDD,1,30,0.196721311
B3,LN,FDD,1,31,0.196721311
B3,LN,FDD,1,32,0.196721311
B3,LN,FDD,1,33,0.196721311
B3,LN,FDD,1,34,0.196721311
B3,LN,FDD,1,35,0.180327869
B3,LN,FDD,1,36,0.819672131
B3,LN,FDD,1,37,0.819672131
B3,LN,FDD,1,38,0.819672131
B3,LN,FDD,1,39,0.803278689
B3,LN,FDD,1,40,0.754098361
B3,LN,FDD,1,41,0.68852459
B3,LN,FDD,2,1,0.983606557
